Product, ProductType, MinPrice, MaxPrice
Wheat,147 Average,1600,1900
Wheat,147 Best,1575,2870
Wheat,2329,1735,1735
Wheat,Bansi,1600,1941
Wheat,Dara,1450,1860
Wheat,Kalyan,1900,2400
Wheat,Lok-1,1600,1735
Wheat,Lokwan,1411,2089
Wheat,Lokwan Gujrat,1475,1650
Wheat,Maharashtra 2189,1300,2500
Wheat,Mexican,1500,1780
Wheat,Milbar,1515,1735
Wheat,Mill Quality,1700,1843
Wheat,Rajasthan Tukdi,1535,2755
Wheat,Sharbati,1550,3200
Wheat,Deshi,1735,2400
Wheat,Sona,1725,1725
Wheat,Red,1800,2500
Wheat,White,1439,2689
Wheat,H.D.,1800,1800
Wheat,Local,1176,3300
Wheat,Super Fine,2600,3000
Wheat,Medium,1300,1500
Wheat,Sonalika,1590,1815
Wheat,Hybrid,1400,2250
Paddy(Dhan),Paddy,825,2710
Paddy(Dhan),Ponni,1620,2062
Paddy(Dhan),I.R. 36,1500,1570
Paddy(Dhan),I.R. 64,1200,1590
Paddy(Dhan),ADT 36,1470,1700
Paddy(Dhan),ADT 43,1320,1618
Paddy(Dhan),AST 16,1500,1700
Paddy(Dhan),Co. 43,1540,1600
Paddy(Dhan),1001,1450,2100
Paddy(Dhan),Sona,1200,1692
Paddy(Dhan),Sona Mahsuri,1301,1769
Paddy(Dhan),Nellore Sanna,1352,1352
Paddy(Dhan),Rajahamsa,1251,1329
Paddy(Dhan),Paddy Dappa,881,1637
Paddy(Dhan),Paddy fine,1520,2850
Paddy(Dhan),Paddy Medium,1510,2359
Paddy(Dhan),Paddy Coarse,1440,1650
Paddy(Dhan),Hansa,1100,1630
Paddy(Dhan),B P T,1701,1782
Paddy(Dhan),Swarna Masuri (OLD),1510,1600
Paddy(Dhan),Samba Masuri,1375,1600
Paddy(Dhan),MTU-1010,1256,1620
Paddy(Dhan),Swarna Masuri (New),1530,1590
Paddy(Dhan),1121,3000,3250
Paddy(Dhan),Common,1300,1700
